order_id,customer_id,order_ts,status,payment_method,total_amount,currency,arq_data_ingest,data_carga,sales_channel
O000089,C00073,2025-12-02T11:24:00.000Z,DELIVERED,credit_card,318.03,BRL,2025-12-02,2026-03-28T22:53:58.607Z,marketplace
O2000024,C00026,2025-12-02T03:05:00.000Z,delivered,credit_card,65.96,BRL,2025-12-02,2026-03-28T22:53:58.607Z,WEB
O2000030,C00088,2025-12-02T00:20:00.000Z,shipped,credit_card,0.00,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000078,C00070,2025-12-02T16:11:00.000Z,created,credit_card,111.49,BRL,2025-12-02,2026-03-28T22:53:58.607Z,WEB
O2000081,C00078,2025-12-02T09:35:00.000Z,paid,PIX,483.04,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O000011,C00071,2025-12-01T01:29:00.000Z,delivered,credit_card,255.52,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000052,C00027,2025-12-01T21:45:00.000Z,delivered,credit_card,102.79,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000062,C00077,2025-12-01T06:44:00.000Z,paid,pix,795.72,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000072,C00060,2025-12-01T01:22:00.000Z,shipped,boleto,199.07,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000083,C00070,2025-12-01T08:07:00.000Z,paid,credit_card,55.84,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000084,C00014,2025-12-01T00:33:00.000Z,created,credit_card,45.49,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000070,C00116,2025-12-02T22:55:00.000Z,created,credit_card,121.54,BRL,2025-12-02,2026-03-28T22:53:58.607Z,app
O000046,C00017,2025-12-02T02:38:00.000Z,delivered,credit_card,337.46,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000022,C00062,2025-12-02T12:34:00.000Z,delivered,pix,158.90,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000026,C00045,2025-12-02T10:36:00.000Z,delivered,pix,131.24,BRL,2025-12-02,2026-03-28T22:53:58.607Z,marketplace
O2000028,C00007,2025-12-02T21:00:00.000Z,created,credit_card,354.54,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000040,C00011,2025-12-02T05:33:00.000Z,delivered,credit_card,92.47,BRL,2025-12-02,2026-03-28T22:53:58.607Z,WEB
O2000065,C00089,2025-12-02T22:06:00.000Z,created,pix,255.01,USD,2025-12-02,2026-03-28T22:53:58.607Z,app
O2000089,C00112,2025-12-02T05:04:00.000Z,paid,credit_card,0.00,BRL,2025-12-02,2026-03-28T22:53:58.607Z,marketplace
O000009,C00108,2025-12-01T22:51:00.000Z,paid,debit_card,267.58,Não informado,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000022,C00056,2025-12-01T19:28:00.000Z,shipped,pix,200.44,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000029,C00105,2025-12-01T15:08:00.000Z,paid,pix,130.26,Não informado,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000031,C00025,2025-12-01T06:29:00.000Z,delivered,credit_card,205.69,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000071,C00051,2025-12-01T11:53:00.000Z,cancelled,credit_card,592.74,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000075,C00008,2025-12-01T18:21:00.000Z,shipped,debit_card,258.16,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000091,C00056,,shipped,credit_card,413.56,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000095,C00084,2025-12-01T04:27:00.000Z,created,pix,341.51,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000104,C00051,2025-12-01T22:06:00.000Z,created,boleto,63.58,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000027,C00093,2025-12-02T15:23:00.000Z,Não informado,pix,386.60,BRL,2025-12-02,2026-03-28T22:53:58.607Z,WEB
O000090,C00044,2025-12-02T01:32:00.000Z,shipped,pix,194.72,BRL,2025-12-02,2026-03-28T22:53:58.607Z,WEB
O2000007,C00120,2025-12-02T23:07:00.000Z,cancelled,boleto,224.50,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000011,C00038,2025-12-02T02:31:00.000Z,DELIVERED,pix,189.13,BRL,2025-12-02,2026-03-28T22:53:58.607Z,app
O2000032,C00094,2025-12-02T14:26:00.000Z,delivered,boleto,512.38,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000047,C00040,2025-12-02T05:17:00.000Z,paid,credit_card,185.34,BRL,2025-12-02,2026-03-28T22:53:58.607Z,WEB
O2000066,C00076,2025-12-02T04:46:00.000Z,paid,Não informado,199.90,BRL,2025-12-02,2026-03-28T22:53:58.607Z,marketplace
O2000094,C00020,2025-12-02T15:56:00.000Z,delivered,credit_card,959.66,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O000006,C00014,2025-12-01T06:12:00.000Z,paid,credit_card,997.05,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000047,C00009,2025-12-01T02:25:00.000Z,paid,Não informado,171.28,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000068,C00082,2025-12-01T17:26:00.000Z,created,credit_card,155.55,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000073,C00049,2025-12-01T19:28:00.000Z,shipped,pix,383.97,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000074,C00041,2025-12-01T18:28:00.000Z,created,credit_card,171.65,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000087,C00050,2025-12-01T18:15:00.000Z,delivered,pix,173.46,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000093,C00050,2025-12-01T12:50:00.000Z,delivered,boleto,188.92,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000107,C00007,2025-12-01T20:52:00.000Z,paid,boleto,505.63,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000103,C00079,2025-12-02T14:32:00.000Z,Não informado,pix,222.51,BRL,2025-12-02,2026-03-28T22:53:58.607Z,WEB
O2000002,C00054,2025-12-02T00:23:00.000Z,delivered,debit_card,249.27,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000014,C00095,,delivered,credit_card,142.15,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000018,C00085,2025-12-02T09:37:00.000Z,DELIVERED,credit_card,221.50,USD,2025-12-02,2026-03-28T22:53:58.607Z,WEB
O2000039,C00039,2025-12-02T08:45:00.000Z,delivered,credit_card,99.48,Não informado,2025-12-02,2026-03-28T22:53:58.607Z,marketplace
O2000051,C00079,2025-12-02T03:50:00.000Z,paid,credit_card,579.66,BRL,2025-12-02,2026-03-28T22:53:58.607Z,web
O2000053,C00030,2025-12-02T02:09:00.000Z,paid,debit_card,169.34,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000084,C00027,2025-12-02T19:04:00.000Z,DELIVERED,boleto,347.98,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O000004,C00029,2025-12-01T23:51:00.000Z,paid,credit_card,390.82,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000030,C00057,2025-12-01T21:16:00.000Z,created,pix,249.38,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000060,C00089,2025-12-01T08:30:00.000Z,paid,credit_card,424.09,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000086,C00035,2025-12-01T01:34:00.000Z,shipped,pix,254.80,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000100,C00108,2025-12-01T12:42:00.000Z,paid,credit_card,305.50,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000103,C00020,2025-12-01T12:46:00.000Z,paid,credit_card,211.07,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000003,C00110,2025-12-02T20:30:00.000Z,shipped,boleto,233.42,BRL,2025-12-02,2026-03-28T22:53:58.607Z,web
O000001,C00092,2025-12-02T14:21:00.000Z,paid,pix,78.45,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000008,C00009,,paid,credit_card,418.53,BRL,2025-12-02,2026-03-28T22:53:58.607Z,app
O2000035,C00043,2025-12-02T12:31:00.000Z,cancelled,credit_card,130.25,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000041,C00061,2025-12-02T00:01:00.000Z,delivered,credit_card,324.01,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000073,C00080,2025-12-02T14:21:00.000Z,delivered,boleto,371.60,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000090,C00036,2025-12-02T02:35:00.000Z,paid,boleto,41.57,BRL,2025-12-02,2026-03-28T22:53:58.607Z,WEB
O000007,C00080,2025-12-01T17:11:00.000Z,shipped,credit_card,661.65,USD,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000016,C00093,2025-12-01T12:11:00.000Z,created,pix,141.39,Não informado,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000027,C00046,,created,pix,116.87,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000039,C00022,,created,pix,200.31,USD,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000053,C00077,2025-12-01T01:02:00.000Z,created,boleto,46.62,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000065,C00018,2025-12-01T07:55:00.000Z,paid,debit_card,199.90,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000075,C00076,,shipped,Não informado,138.19,BRL,2025-12-02,2026-03-28T22:53:58.607Z,marketplace
O2000043,C00088,2025-12-02T04:52:00.000Z,delivered,credit_card,363.76,BRL,2025-12-02,2026-03-28T22:53:58.607Z,web
O2000079,C00032,2025-12-02T08:32:00.000Z,delivered,credit_card,624.47,BRL,2025-12-02,2026-03-28T22:53:58.607Z,marketplace
O2000091,C00033,2025-12-02T23:10:00.000Z,delivered,boleto,55.42,BRL,2025-12-02,2026-03-28T22:53:58.607Z,WEB
O000035,C00106,2025-12-01T07:29:00.000Z,shipped,Não informado,537.50,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000050,C00042,,created,Não informado,268.05,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000080,C00008,2025-12-01T11:56:00.000Z,created,credit_card,239.99,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000102,C00084,2025-12-01T10:23:00.000Z,delivered,credit_card,464.79,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000106,C00026,2025-12-01T20:30:00.000Z,paid,credit_card,92.87,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000020,C00105,2025-12-02T05:08:00.000Z,created,credit_card,293.94,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O000009,C00113,2025-12-02T05:06:00.000Z,DELIVERED,pix,208.17,BRL,2025-12-02,2026-03-28T22:53:58.607Z,app
O000053,C00068,2025-12-02T11:01:00.000Z,shipped,credit_card,280.99,BRL,2025-12-02,2026-03-28T22:53:58.607Z,WEB
O000008,C00099,2025-12-02T18:02:00.000Z,created,boleto,219.92,BRL,2025-12-02,2026-03-28T22:53:58.607Z,app
O000074,C00113,2025-12-02T05:52:00.000Z,delivered,debit_card,322.55,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000049,C00086,2025-12-02T00:13:00.000Z,paid,credit_card,134.19,BRL,2025-12-02,2026-03-28T22:53:58.607Z,WEB
O2000067,C00047,2025-12-02T23:38:00.000Z,paid,credit_card,296.13,BRL,2025-12-02,2026-03-28T22:53:58.607Z,WEB
O2000068,C00002,2025-12-02T17:13:00.000Z,paid,pix,133.28,BRL,2025-12-02,2026-03-28T22:53:58.607Z,marketplace
O2000071,C00044,2025-12-02T09:51:00.000Z,delivered,credit_card,265.84,BRL,2025-12-02,2026-03-28T22:53:58.607Z,app
O2000075,C00066,2025-12-02T21:20:00.000Z,Não informado,pix,202.06,BRL,2025-12-02,2026-03-28T22:53:58.607Z,app
O2000086,C00057,2025-12-02T11:26:00.000Z,created,pix,159.66,BRL,2025-12-02,2026-03-28T22:53:58.607Z,app
O000048,C00081,2025-12-01T03:43:00.000Z,shipped,credit_card,188.48,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000063,C00003,2025-12-01T13:42:00.000Z,shipped,pix,353.28,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000105,C00023,2025-12-01T15:18:00.000Z,paid,credit_card,316.60,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000109,C00105,2025-12-01T09:37:00.000Z,paid,pix,33.20,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000110,C00110,2025-12-01T01:14:00.000Z,paid,pix,398.52,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000030,C00072,2025-12-02T12:29:00.000Z,created,credit_card,273.68,BRL,2025-12-02,2026-03-28T22:53:58.607Z,app
O2000001,C00116,2025-12-02T15:56:00.000Z,paid,boleto,190.80,BRL,2025-12-02,2026-03-28T22:53:58.607Z,marketplace
O2000019,C00033,2025-12-02T05:34:00.000Z,delivered,credit_card,333.03,BRL,2025-12-02,2026-03-28T22:53:58.607Z,app
O2000052,C00012,2025-12-02T18:27:00.000Z,shipped,pix,318.00,BRL,2025-12-02,2026-03-28T22:53:58.607Z,app
O2000063,C00060,2025-12-02T05:00:00.000Z,shipped,pix,314.52,Não informado,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O000010,C00070,2025-12-01T11:15:00.000Z,shipped,boleto,84.28,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000018,C00059,2025-12-01T00:40:00.000Z,shipped,boleto,18.29,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000032,C00043,2025-12-01T14:42:00.000Z,paid,credit_card,250.39,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000034,C00076,2025-12-01T11:48:00.000Z,cancelled,credit_card,87.10,USD,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000070,C00101,2025-12-01T11:16:00.000Z,delivered,pix,608.58,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000076,C00006,2025-12-01T07:36:00.000Z,shipped,credit_card,55.53,Não informado,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000090,C00111,2025-12-01T11:13:00.000Z,created,credit_card,88.80,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000098,C00094,2025-12-01T06:28:00.000Z,delivered,credit_card,386.77,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000108,C00021,2025-12-01T14:12:00.000Z,paid,boleto,298.68,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000109,C00017,2025-12-02T00:34:00.000Z,cancelled,pix,0.00,BRL,2025-12-02,2026-03-28T22:53:58.607Z,marketplace
O2000033,C00089,2025-12-02T13:13:00.000Z,shipped,pix,589.93,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000036,C00065,2025-12-02T07:57:00.000Z,shipped,credit_card,0.00,BRL,2025-12-02,2026-03-28T22:53:58.607Z,WEB
O2000048,C00009,2025-12-02T06:20:00.000Z,paid,pix,307.36,BRL,2025-12-02,2026-03-28T22:53:58.607Z,WEB
O2000055,C00004,2025-12-02T19:28:00.000Z,paid,pix,92.66,brl,2025-12-02,2026-03-28T22:53:58.607Z,WEB
O2000072,C00027,2025-12-02T14:03:00.000Z,delivered,pix,978.59,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000082,C00087,2025-12-02T14:45:00.000Z,cancelled,debit_card,138.16,BRL,2025-12-02,2026-03-28T22:53:58.607Z,app
O2000083,C00023,2025-12-02T21:47:00.000Z,created,pix,118.38,BRL,2025-12-02,2026-03-28T22:53:58.607Z,web
O2000088,C00025,2025-12-02T02:44:00.000Z,paid,boleto,164.66,BRL,2025-12-02,2026-03-28T22:53:58.607Z,web
O000033,C00105,2025-12-01T04:15:00.000Z,paid,credit_card,964.74,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000085,C00028,2025-12-01T22:51:00.000Z,cancelled,boleto,427.95,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000092,C00059,2025-12-01T01:57:00.000Z,shipped,credit_card,69.85,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000062,C00115,2025-12-02T22:35:00.000Z,created,credit_card,31.14,USD,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000017,C00075,,created,credit_card,294.57,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000045,C00071,2025-12-02T16:44:00.000Z,shipped,credit_card,121.42,brl,2025-12-02,2026-03-28T22:53:58.607Z,app
O2000050,C00025,2025-12-02T08:23:00.000Z,delivered,boleto,413.15,BRL,2025-12-02,2026-03-28T22:53:58.607Z,app
O2000080,C00095,2025-12-02T05:12:00.000Z,cancelled,credit_card,295.14,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000095,C00039,2025-12-02T05:33:00.000Z,delivered,credit_card,583.88,BRL,2025-12-02,2026-03-28T22:53:58.607Z,app
O000024,C00017,2025-12-01T15:28:00.000Z,delivered,credit_card,199.20,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000036,C00112,2025-12-01T00:09:00.000Z,delivered,credit_card,9.70,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000037,C00018,,paid,boleto,81.09,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000055,C00093,2025-12-01T13:46:00.000Z,cancelled,boleto,75.88,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000059,C00114,2025-12-01T18:42:00.000Z,delivered,credit_card,146.01,Não informado,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000077,C00027,2025-12-01T00:00:00.000Z,paid,pix,116.94,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000079,C00083,2025-12-01T11:24:00.000Z,paid,pix,41.96,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000050,C00046,2025-12-02T22:59:00.000Z,shipped,credit_card,37.68,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000005,C00072,2025-12-02T08:35:00.000Z,delivered,boleto,177.98,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000020,C00019,2025-12-02T15:31:00.000Z,delivered,pix,483.02,BRL,2025-12-02,2026-03-28T22:53:58.607Z,marketplace
O2000034,C00105,2025-12-02T01:39:00.000Z,delivered,PIX,308.19,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000038,C00112,2025-12-02T15:39:00.000Z,delivered,pix,67.77,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000046,C00048,2025-12-02T09:12:00.000Z,created,credit_card,175.15,BRL,2025-12-02,2026-03-28T22:53:58.607Z,app
O2000092,C00079,2025-12-02T10:19:00.000Z,shipped,boleto,501.31,BRL,2025-12-02,2026-03-28T22:53:58.607Z,app
O000002,C00080,2025-12-01T05:57:00.000Z,created,credit_card,273.29,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000003,C00098,2025-12-01T16:11:00.000Z,created,pix,253.15,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000014,C00055,2025-12-01T20:01:00.000Z,cancelled,debit_card,321.35,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000056,C00026,2025-12-01T13:14:00.000Z,created,credit_card,115.05,Não informado,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000081,C00027,2025-12-01T07:28:00.000Z,paid,Não informado,254.65,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000082,C00018,2025-12-01T14:40:00.000Z,paid,pix,339.11,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000099,C00095,2025-12-01T16:29:00.000Z,shipped,boleto,246.67,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000091,C00043,2025-12-02T11:34:00.000Z,created,pix,931.73,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O000054,C00032,2025-12-02T15:13:00.000Z,paid,boleto,270.76,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O000060,C00042,2025-12-02T05:11:00.000Z,Não informado,Não informado,228.65,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000003,C00116,2025-12-02T06:43:00.000Z,Não informado,credit_card,173.15,BRL,2025-12-02,2026-03-28T22:53:58.607Z,app
O2000013,C00070,2025-12-02T10:07:00.000Z,shipped,pix,372.94,BRL,2025-12-02,2026-03-28T22:53:58.607Z,app
O2000042,C00107,2025-12-02T06:14:00.000Z,shipped,debit_card,480.06,BRL,2025-12-02,2026-03-28T22:53:58.607Z,web
O2000054,C00091,2025-12-02T13:57:00.000Z,paid,pix,112.66,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
