order_id,carrier,shipping_cost,shipped_ts,delivered_ts,delivery_status,arq_data_ingest,data_carga
O2000048,Jadlog,34.29,2025-12-02 01:10:00,2025-12-02 06:23:00,in_transit,2025-12-02,2026-03-28T23:04:37.474Z
O2000049,,2.05,2025-12-03 19:04:00,10/12/2025 14:32,,2025-12-02,2026-03-28T23:04:37.474Z
O2000050,Correios,41.13,2025-12-02 09:55:00,09/12/2025 03:20,returned,2025-12-02,2026-03-28T23:04:37.474Z
O2000051,Loggi,26.54,2025-12-03 15:23:00,2025-12-08 03:29:00,,2025-12-02,2026-03-28T23:04:37.474Z
O2000052,Correios,4.23,2025-12-03 16:06:00,2025-12-05 08:22:00,lost,2025-12-02,2026-03-28T23:04:37.474Z
O2000054,,63.43,,,,2025-12-02,2026-03-28T23:04:37.474Z
O2000055,Jadlog,49.38,2025-12-03 02:32:00,2025-12-07 09:39:00,delivered,2025-12-02,2026-03-28T23:04:37.474Z
O2000056,,13.65,03/12/2025 03:31,2025-12-05 22:49:00,delivered,2025-12-02,2026-03-28T23:04:37.474Z
O2000057,CORREIOS,74.99,2025-12-02 05:30:00,N/A,in_transit,2025-12-02,2026-03-28T23:04:37.474Z
O2000058,,41.28,2025-12-03 20:41:00,08/12/2025 01:18,returned,2025-12-02,2026-03-28T23:04:37.474Z
O2000059,Correios,66.39,2025-12-02 12:36:00,,,2025-12-02,2026-03-28T23:04:37.474Z
O2000060,CORREIOS,70.63,2025-12-02 18:19:00,,,2025-12-02,2026-03-28T23:04:37.474Z
O2000061,CORREIOS,7.5,02/12/2025 04:33,,returned,2025-12-02,2026-03-28T23:04:37.474Z
O2000064,Correios,68.93,2025-12-02 17:38:00,,delivered,2025-12-02,2026-03-28T23:04:37.474Z
O2000065,CORREIOS,68.04,2025-12-03 17:34:00,08/12/2025 18:20,label_created,2025-12-02,2026-03-28T23:04:37.474Z
O2000066,,74.36,2025-12-02 08:42:00,2025-12-03 10:01:00,in_transit,2025-12-02,2026-03-28T23:04:37.474Z
O2000067,Total Express,16.34,02/12/2025 22:54,,label_created,2025-12-02,2026-03-28T23:04:37.474Z
O2000068,Total Express,54.0,02/12/2025 09:33,2025-12-08 14:24:00,lost,2025-12-02,2026-03-28T23:04:37.474Z
O2000069,,31.58,2025-12-03 23:23:00,2025-12-08 21:13:00,delivered,2025-12-02,2026-03-28T23:04:37.474Z
O2000073,CORREIOS,36.89,03/12/2025 23:23,2025-12-08 17:18:00,delivered,2025-12-02,2026-03-28T23:04:37.474Z
O2000074,,40.63,02/12/2025 19:45,05/12/2025 23:05,,2025-12-02,2026-03-28T23:04:37.474Z
O2000075,,63.05,2025-12-02 13:10:00,,in_transit,2025-12-02,2026-03-28T23:04:37.474Z
O2000076,,4.87,02/12/2025 14:38,2025-12-04 12:16:00,in_transit,2025-12-02,2026-03-28T23:04:37.474Z
O2000077,,56.06,2025-12-03 05:59:00,,,2025-12-02,2026-03-28T23:04:37.474Z
,,63.53,03/12/2025 14:47,2025-12-07 09:32:00,in_transit,2025-12-02,2026-03-28T23:04:37.474Z
O2000079,,51.34,2025-12-03 08:51:00,2025-12-04 08:31:00,delivered,2025-12-02,2026-03-28T23:04:37.474Z
O2000080,CORREIOS,43.98,2025-12-03 12:40:00,2025-12-05 12:37:00,returned,2025-12-02,2026-03-28T23:04:37.474Z
O2000081,Jadlog,11.12,2025-12-03 03:32:00,2025-12-07 17:03:00,,2025-12-02,2026-03-28T23:04:37.474Z
O2000082,CORREIOS,67.58,2025-12-02 13:40:00,2025-12-08 22:03:00,lost,2025-12-02,2026-03-28T23:04:37.474Z
O2000083,CORREIOS,15.81,2025-12-02 11:00:00,07/12/2025 22:17,returned,2025-12-02,2026-03-28T23:04:37.474Z
O2000085,,43.97,2025-12-02 12:23:00,2025-12-03 10:30:00,delivered,2025-12-02,2026-03-28T23:04:37.474Z
O2000086,Total Express,52.35,2025-12-03 04:49:00,2025-12-05 20:17:00,,2025-12-02,2026-03-28T23:04:37.474Z
O2000087,Total Express,28.84,2025-12-03 07:39:00,03/12/2025 22:51,in_transit,2025-12-02,2026-03-28T23:04:37.474Z
O2000088,,28.28,2025-12-03 18:56:00,,lost,2025-12-02,2026-03-28T23:04:37.474Z
O2000089,Loggi,23.62,03/12/2025 17:36,2025-12-03 23:00:00,delivered,2025-12-02,2026-03-28T23:04:37.474Z
O2000090,Total Express,46.12,02/12/2025 08:57,2025-12-08 08:23:00,returned,2025-12-02,2026-03-28T23:04:37.474Z
O2000091,CORREIOS,72.15,2025-12-02 04:53:00,2025-12-05 01:51:00,lost,2025-12-02,2026-03-28T23:04:37.474Z
O2000092,Loggi,36.73,02/12/2025 05:38,,delivered,2025-12-02,2026-03-28T23:04:37.474Z
O2000093,Correios,36.55,,09/12/2025 08:49,delivered,2025-12-02,2026-03-28T23:04:37.474Z
O2000094,Correios,54.6,02/12/2025 11:27,05/12/2025 20:54,,2025-12-02,2026-03-28T23:04:37.474Z
O2000095,Correios,65.67,2025-12-03 21:30:00,08/12/2025 06:29,,2025-12-02,2026-03-28T23:04:37.474Z
O2000064,Correios,68.93,2025-12-02 17:38:00,,delivered,2025-12-02,2026-03-28T23:04:37.474Z
O2000051,Loggi,26.54,2025-12-03 15:23:00,2025-12-08 03:29:00,,2025-12-02,2026-03-28T23:04:37.474Z
O2000029,Total Express,7.76,02/12/2025 03:24,02/12/2025 09:59,returned,2025-12-02,2026-03-28T23:04:37.474Z
O2000074,,40.63,02/12/2025 19:45,05/12/2025 23:05,,2025-12-02,2026-03-28T23:04:37.474Z
O2000020,,2.36,2025-12-03 00:10:00,2025-12-02 23:35:00,label_created,2025-12-02,2026-03-28T23:04:37.474Z
O000001,,39.57,02/12/2025 07:22,2025-12-07 00:08:00,returned,2025-12-01,2026-03-28T23:02:05.333Z
O000003,CORREIOS,"0,00",2025-12-02 15:34:00,2025-12-03 06:41:00,,2025-12-01,2026-03-28T23:02:05.333Z
O000004,Total Express,34.36,2025-12-02 19:32:00,2025-12-06 22:50:00,,2025-12-01,2026-03-28T23:02:05.333Z
O000005,,49.82,2025-12-01 04:26:00,N/A,,2025-12-01,2026-03-28T23:02:05.333Z
O000006,,56.35,2025-12-02 10:05:00,07/12/2025 04:39,,2025-12-01,2026-03-28T23:02:05.333Z
O000007,CORREIOS,54.04,2025-12-01 02:02:00,,in_transit,2025-12-01,2026-03-28T23:02:05.333Z
O000008,,70.16,2025-12-01 20:46:00,,in_transit,2025-12-01,2026-03-28T23:02:05.333Z
O000009,Correios,38.95,2025-12-02 12:04:00,,returned,2025-12-01,2026-03-28T23:02:05.333Z
O000010,CORREIOS,26.67,02/12/2025 02:25,05/12/2025 10:19,label_created,2025-12-01,2026-03-28T23:02:05.333Z
O000011,,39.72,,06/12/2025 12:26,label_created,2025-12-01,2026-03-28T23:02:05.333Z
O000013,CORREIOS,14.02,01/12/2025 10:00,,returned,2025-12-01,2026-03-28T23:02:05.333Z
O000014,Total Express,34.66,2025-12-02 02:17:00,07/12/2025 03:17,label_created,2025-12-01,2026-03-28T23:02:05.333Z
O000015,Jadlog,4.96,2025-12-02 02:46:00,,delivered,2025-12-01,2026-03-28T23:02:05.333Z
O000017,,10.12,01/12/2025 08:49,2025-12-07 19:29:00,,2025-12-01,2026-03-28T23:02:05.333Z
O000018,,4.66,,04/12/2025 23:54,,2025-12-01,2026-03-28T23:02:05.333Z
O000019,Total Express,56.54,2025-12-01 02:29:00,2025-12-03 19:35:00,label_created,2025-12-01,2026-03-28T23:02:05.333Z
O000023,,36.34,01/12/2025 11:48,2025-12-03 11:37:00,delivered,2025-12-01,2026-03-28T23:02:05.333Z
O000024,Correios,60.77,2025-12-02 16:12:00,2025-12-03 08:27:00,,2025-12-01,2026-03-28T23:02:05.333Z
O000025,,31.97,2025-12-02 22:28:00,,label_created,2025-12-01,2026-03-28T23:02:05.333Z
O000027,CORREIOS,48.06,2025-12-02 00:50:00,08/12/2025 05:17,,2025-12-01,2026-03-28T23:02:05.333Z
O000029,CORREIOS,-5,2025-12-01 06:42:00,2025-12-01 21:00:00,lost,2025-12-01,2026-03-28T23:02:05.333Z
O000030,Jadlog,64.07,02/12/2025 04:15,2025-12-08 01:42:00,label_created,2025-12-01,2026-03-28T23:02:05.333Z
O000031,Total Express,45.11,01/12/2025 20:20,N/A,lost,2025-12-01,2026-03-28T23:02:05.333Z
O000032,Loggi,15.79,2025-12-01 19:07:00,,,2025-12-01,2026-03-28T23:02:05.333Z
O000033,,1.6,2025-12-02 11:39:00,2025-12-03 22:36:00,in_transit,2025-12-01,2026-03-28T23:02:05.333Z
O000034,,17.72,02/12/2025 16:41,,delivered,2025-12-01,2026-03-28T23:02:05.333Z
O000035,CORREIOS,18.96,2025-12-01 22:42:00,2025-12-07 17:06:00,lost,2025-12-01,2026-03-28T23:02:05.333Z
O000036,,34.49,,,lost,2025-12-01,2026-03-28T23:02:05.333Z
O000037,Jadlog,19.46,2025-12-01 02:38:00,2025-12-01 09:49:00,delivered,2025-12-01,2026-03-28T23:02:05.333Z
O000038,Correios,12.5,01/12/2025 03:45,2025-12-03 23:45:00,in_transit,2025-12-01,2026-03-28T23:02:05.333Z
O000039,Total Express,34.2,02/12/2025 01:35,07/12/2025 00:23,lost,2025-12-01,2026-03-28T23:02:05.333Z
O000040,CORREIOS,40.86,01/12/2025 11:12,2025-12-08 07:31:00,,2025-12-01,2026-03-28T23:02:05.333Z
O000041,,free,2025-12-01 20:04:00,03/12/2025 17:14,in_transit,2025-12-01,2026-03-28T23:02:05.333Z
O000042,Loggi,,2025-12-01 05:50:00,2025-12-06 07:27:00,lost,2025-12-01,2026-03-28T23:02:05.333Z
O000044,Jadlog,52.38,2025-12-01 21:27:00,06/12/2025 02:52,,2025-12-01,2026-03-28T23:02:05.333Z
O000045,Loggi,71.12,2025-12-01 13:45:00,06/12/2025 16:38,delivered,2025-12-01,2026-03-28T23:02:05.333Z
O000046,,23.79,2025-12-02 09:35:00,2025-12-04 01:03:00,,2025-12-01,2026-03-28T23:02:05.333Z
O000048,Correios,60.87,2025-12-01 04:07:00,2025-12-07 02:07:00,delivered,2025-12-01,2026-03-28T23:02:05.333Z
O000049,Correios,79.75,2025-12-01 08:13:00,05/12/2025 06:12,,2025-12-01,2026-03-28T23:02:05.333Z
O000050,Loggi,30.17,2025-12-02 14:07:00,2025-12-06 01:32:00,,2025-12-01,2026-03-28T23:02:05.333Z
O000051,Total Express,18.28,01/12/2025 08:56,2025-12-02 11:19:00,,2025-12-01,2026-03-28T23:02:05.333Z
O000052,Jadlog,18.16,2025-12-01 05:28:00,05/12/2025 15:39,lost,2025-12-01,2026-03-28T23:02:05.333Z
O000053,,21.33,2025-12-02 05:28:00,2025-12-05 09:25:00,delivered,2025-12-01,2026-03-28T23:02:05.333Z
O000054,Loggi,8.33,01/12/2025 20:17,,delivered,2025-12-01,2026-03-28T23:02:05.333Z
O000055,Jadlog,69.92,02/12/2025 23:32,07/12/2025 00:42,delivered,2025-12-01,2026-03-28T23:02:05.333Z
O000056,CORREIOS,9.59,02/12/2025 03:42,07/12/2025 22:56,lost,2025-12-01,2026-03-28T23:02:05.333Z
O000057,,49.82,2025-12-01 17:25:00,,,2025-12-01,2026-03-28T23:02:05.333Z
O000058,Jadlog,31.23,,04/12/2025 07:28,returned,2025-12-01,2026-03-28T23:02:05.333Z
O000059,Correios,24.77,2025-12-01 19:03:00,2025-12-07 09:29:00,,2025-12-01,2026-03-28T23:02:05.333Z
O000060,Total Express,30.44,02/12/2025 09:17,06/12/2025 21:31,,2025-12-01,2026-03-28T23:02:05.333Z
O000061,Jadlog,31.6,2025-12-02 05:38:00,07/12/2025 16:23,label_created,2025-12-01,2026-03-28T23:02:05.333Z
O000062,Total Express,42.79,01/12/2025 17:26,07/12/2025 22:49,in_transit,2025-12-01,2026-03-28T23:02:05.333Z
O000063,Jadlog,,02/12/2025 11:49,2025-12-05 16:46:00,delivered,2025-12-01,2026-03-28T23:02:05.333Z
O000064,CORREIOS,65.09,02/12/2025 20:19,2025-12-06 15:21:00,label_created,2025-12-01,2026-03-28T23:02:05.333Z
O000065,,8.22,2025-12-01 05:17:00,2025-12-03 14:57:00,,2025-12-01,2026-03-28T23:02:05.333Z
O000066,Correios,58.22,,2025-12-03 08:36:00,,2025-12-01,2026-03-28T23:02:05.333Z
O000067,,48.78,2025-12-01 03:54:00,,lost,2025-12-01,2026-03-28T23:02:05.333Z
O000068,Loggi,60.07,2025-12-01 01:38:00,2025-12-06 08:11:00,delivered,2025-12-01,2026-03-28T23:02:05.333Z
O000069,Jadlog,75.85,01/12/2025 05:32,,label_created,2025-12-01,2026-03-28T23:02:05.333Z
O000070,Correios,20.86,02/12/2025 17:31,2025-12-09 01:42:00,,2025-12-01,2026-03-28T23:02:05.333Z
O000071,Loggi,58.46,2025-12-01 18:11:00,,label_created,2025-12-01,2026-03-28T23:02:05.333Z
O000073,Total Express,19.97,02/12/2025 02:31,2025-12-06 04:45:00,label_created,2025-12-01,2026-03-28T23:02:05.333Z
O000074,,53.03,2025-12-01 22:59:00,2025-12-07 11:58:00,,2025-12-01,2026-03-28T23:02:05.333Z
O000075,,50.26,01/12/2025 00:04,2025-12-04 21:34:00,,2025-12-01,2026-03-28T23:02:05.333Z
,,5.65,2025-12-02 07:58:00,,label_created,2025-12-01,2026-03-28T23:02:05.333Z
O000077,,7.41,2025-12-01 02:52:00,02/12/2025 01:29,,2025-12-01,2026-03-28T23:02:05.333Z
O000079,CORREIOS,43.28,2025-12-02 02:50:00,2025-12-06 02:16:00,lost,2025-12-01,2026-03-28T23:02:05.333Z
O000080,Loggi,15.0,01/12/2025 23:58,2025-12-05 03:52:00,,2025-12-01,2026-03-28T23:02:05.333Z
O000081,Loggi,62.88,02/12/2025 04:54,2025-12-03 13:36:00,,2025-12-01,2026-03-28T23:02:05.333Z
O000082,Total Express,79.34,01/12/2025 11:22,2025-12-05 13:01:00,lost,2025-12-01,2026-03-28T23:02:05.333Z
O000083,,76.16,2025-12-02 11:52:00,N/A,,2025-12-01,2026-03-28T23:02:05.333Z
O000084,Correios,49.74,2025-12-02 00:08:00,2025-12-08 07:35:00,,2025-12-01,2026-03-28T23:02:05.333Z
O000085,,44.12,01/12/2025 21:22,,returned,2025-12-01,2026-03-28T23:02:05.333Z
,Total Express,75.85,2025-12-01 20:24:00,2025-12-04 17:11:00,returned,2025-12-01,2026-03-28T23:02:05.333Z
O000087,CORREIOS,58.34,2025-12-02 13:05:00,08/12/2025 07:57,in_transit,2025-12-01,2026-03-28T23:02:05.333Z
O000089,,13.78,2025-12-02 14:08:00,2025-12-05 02:42:00,,2025-12-01,2026-03-28T23:02:05.333Z
O000090,,34.94,2025-12-01 03:09:00,04/12/2025 12:29,,2025-12-01,2026-03-28T23:02:05.333Z
O000093,Jadlog,57.38,02/12/2025 22:08,2025-12-03 11:37:00,in_transit,2025-12-01,2026-03-28T23:02:05.333Z
O000094,Jadlog,5.16,2025-12-02 07:27:00,2025-12-09 05:52:00,returned,2025-12-01,2026-03-28T23:02:05.333Z
O000095,,6.82,02/12/2025 22:14,2025-12-04 21:30:00,returned,2025-12-01,2026-03-28T23:02:05.333Z
O000096,,43.74,02/12/2025 00:41,08/12/2025 22:50,returned,2025-12-01,2026-03-28T23:02:05.333Z
O000097,Total Express,60.04,2025-12-01 07:14:00,2025-12-05 20:56:00,,2025-12-01,2026-03-28T23:02:05.333Z
O000098,Correios,70.91,01/12/2025 01:29,,,2025-12-01,2026-03-28T23:02:05.333Z
O000099,Total Express,19.27,2025-12-02 03:59:00,06/12/2025 04:31,,2025-12-01,2026-03-28T23:02:05.333Z
O000100,,67.67,2025-12-01 13:34:00,N/A,in_transit,2025-12-01,2026-03-28T23:02:05.333Z
O000101,CORREIOS,1.42,2025-12-01 03:48:00,2025-12-07 12:58:00,returned,2025-12-01,2026-03-28T23:02:05.333Z
O000102,,71.85,2025-12-02 20:12:00,N/A,lost,2025-12-01,2026-03-28T23:02:05.333Z
O000103,Loggi,30.71,,03/12/2025 10:06,lost,2025-12-01,2026-03-28T23:02:05.333Z
O000104,CORREIOS,40.83,02/12/2025 03:06,2025-12-06 13:38:00,,2025-12-01,2026-03-28T23:02:05.333Z
O000105,,70.3,2025-12-02 23:59:00,,,2025-12-01,2026-03-28T23:02:05.333Z
O000106,CORREIOS,33.31,2025-12-01 23:48:00,2025-12-05 09:40:00,in_transit,2025-12-01,2026-03-28T23:02:05.333Z
O000107,CORREIOS,71.49,02/12/2025 11:47,06/12/2025 22:39,lost,2025-12-01,2026-03-28T23:02:05.333Z
O000108,Total Express,53.65,01/12/2025 18:47,,returned,2025-12-01,2026-03-28T23:02:05.333Z
O000109,Correios,57.43,02/12/2025 19:53,2025-12-05 08:56:00,delivered,2025-12-01,2026-03-28T23:02:05.333Z
O000110,Loggi,49.14,02/12/2025 10:06,2025-12-03 23:30:00,in_transit,2025-12-01,2026-03-28T23:02:05.333Z
O000109,Correios,57.43,02/12/2025 19:53,2025-12-05 08:56:00,delivered,2025-12-01,2026-03-28T23:02:05.333Z
O000065,,8.22,2025-12-01 05:17:00,2025-12-03 14:57:00,,2025-12-01,2026-03-28T23:02:05.333Z
O000067,,48.78,2025-12-01 03:54:00,,lost,2025-12-01,2026-03-28T23:02:05.333Z
O000039,Total Express,34.2,02/12/2025 01:35,07/12/2025 00:23,lost,2025-12-01,2026-03-28T23:02:05.333Z
O000104,CORREIOS,40.83,02/12/2025 03:06,2025-12-06 13:38:00,,2025-12-01,2026-03-28T23:02:05.333Z
